Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Account
21-11-2024,VWRP,MANUAL,GBP,110.60,15,buy,3,IBKR Giuseppe
24-10-2025,PACW,MANUAL,GBP,10.18,186,buy,3,IBKR Giuseppe
28-10-2025,PACW,MANUAL,GBP,10.31,85,buy,3,IBKR Giuseppe
31-10-2025,VWRP,MANUAL,GBP,128.22,3,buy,3,IBKR Giuseppe
31-10-2025,PACW,MANUAL,GBP,10.45,250,buy,3,IBKR Giuseppe
21-11-2025,PACW,MANUAL,GBP,10.04,500,buy,3,IBKR Giuseppe
21-11-2025,VWRP,MANUAL,GBP,123.30,17,buy,3,IBKR Giuseppe
22-12-2025,PACW,MANUAL,GBP,10.28,92,buy,3,IBKR Giuseppe
26-01-2026,PACW,MANUAL,GBP,10.37,91,buy,3,IBKR Giuseppe
02-02-2026,MDT,MANUAL,USD,103.17,15,buy,1,IBKR Giuseppe
02-02-2026,NOVO.B,MANUAL,DKK,366.25,36,buy,49,IBKR Giuseppe
