Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Account
16-11-2023,VWRP,MANUAL,GBP,89.67,54,buy,3,IBKR Ylenia
24-11-2023,VWRP,MANUAL,GBP,89.54,37,buy,3,IBKR Ylenia
30-11-2023,VWRP,MANUAL,GBP,89.02,21,buy,3,IBKR Ylenia
31-01-2024,VWRP,MANUAL,GBP,94.40,140,buy,6.61,IBKR Ylenia
14-03-2024,VWRP,MANUAL,GBP,98.83,241,buy,11.91,IBKR Ylenia
11-04-2024,EMIM,MANUAL,GBP,26.23,382,buy,5.01,IBKR Ylenia
17-05-2024,EMIM,MANUAL,GBP,27.23,100,buy,3,IBKR Ylenia
17-05-2024,EMIM,MANUAL,GBP,27.23,250,buy,3.40,IBKR Ylenia
17-05-2024,VWRP,MANUAL,GBP,102.48,200,buy,10.25,IBKR Ylenia
28-05-2024,VWRP,MANUAL,GBP,101.92,40,buy,3,IBKR Ylenia
28-05-2024,XDEQ,MANUAL,GBP,53.24,90,buy,3,IBKR Ylenia
28-05-2024,WLDS,MANUAL,GBP,5.69,800,buy,3,IBKR Ylenia
29-05-2024,VWRP,MANUAL,GBP,100.84,50,buy,3,IBKR Ylenia
29-05-2024,XDEQ,MANUAL,GBP,52.77,40,buy,3,IBKR Ylenia
29-05-2024,WLDS,MANUAL,GBP,5.60,400,buy,3,IBKR Ylenia
29-05-2024,EMIM,MANUAL,GBP,26.46,80,buy,3,IBKR Ylenia
31-05-2024,VWRP,MANUAL,GBP,100.54,91,buy,4.57,IBKR Ylenia
28-06-2024,EMIM,MANUAL,GBP,27.18,198,buy,3,IBKR Ylenia
28-06-2024,VWRP,MANUAL,GBP,104.50,2,buy,3,IBKR Ylenia
31-07-2024,VWRP,MANUAL,GBP,103.68,50,buy,3,IBKR Ylenia
02-09-2024,VWRP,MANUAL,GBP,103.86,68,buy,3.53,IBKR Ylenia
30-09-2024,VWRP,MANUAL,GBP,104.38,65,buy,3.39,IBKR Ylenia
30-09-2024,EMIM,MANUAL,GBP,27.80,11,buy,3,IBKR Ylenia
31-10-2024,VWRP,MANUAL,GBP,106.38,80,buy,4.26,IBKR Ylenia
01-11-2024,EMIM,MANUAL,GBP,27.56,137,buy,3,IBKR Ylenia
29-11-2024,VWRP,MANUAL,GBP,111.34,38,buy,3,IBKR Ylenia
23-12-2024,VWRP,MANUAL,GBP,111.06,46,buy,3,IBKR Ylenia
23-12-2024,EMIM,MANUAL,GBP,27.41,91,buy,3,IBKR Ylenia
31-01-2025,VWRP,MANUAL,GBP,116.25,28,buy,3,IBKR Ylenia
31-01-2025,XDEQ,MANUAL,GBP,59.08,4,buy,3,IBKR Ylenia
28-02-2025,XDEQ,MANUAL,GBP,56.95,20,buy,3,IBKR Ylenia
28-02-2025,WLDS,MANUAL,GBP,5.96,200,buy,3,IBKR Ylenia
28-02-2025,VWRP,MANUAL,GBP,112.09,43,buy,3,IBKR Ylenia
31-03-2025,EMIM,MANUAL,GBP,26.85,100,buy,3,IBKR Ylenia
31-03-2025,WLDS,MANUAL,GBP,5.59,100,buy,3,IBKR Ylenia
31-03-2025,VWRP,MANUAL,GBP,104.89,56,buy,3,IBKR Ylenia
31-03-2025,XDEQ,MANUAL,GBP,52.75,10,buy,3,IBKR Ylenia
28-11-2025,PACW,MANUAL,GBP,10.33,300,buy,3,IBKR Ylenia
28-11-2025,XDEQ,MANUAL,GBP,60.73,3,buy,3,IBKR Ylenia
23-12-2025,PACW,MANUAL,GBP,10.28,97,buy,3,IBKR Ylenia
23-12-2025,XDEQ,MANUAL,GBP,60.51,9,buy,3,IBKR Ylenia
23-12-2025,WLDS,MANUAL,GBP,6.81,73,buy,3,IBKR Ylenia
23-12-2025,EMIM,MANUAL,GBP,32.94,15,buy,3,IBKR Ylenia
30-01-2026,WLDS,MANUAL,GBP,6.97,68,buy,3,IBKR Ylenia
30-01-2026,XDEQ,MANUAL,GBP,6.09,30,buy,3,IBKR Ylenia
30-01-2026,PACW,MANUAL,GBP,10.33,100,buy,3,IBKR Ylenia
