Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Account
16-08-2021,VAEIAGA,MANUAL,GBP,130.09,0.27,buy,0,Vanguard Giuseppe
17-08-2021,VHYL,MANUAL,GBP,46.10,1,buy,0,Vanguard Giuseppe
17-08-2021,VEUR,MANUAL,GBP,31.45,286,buy,0,Vanguard Giuseppe
17-08-2021,VHYL,MANUAL,GBP,46.15,108,buy,0,Vanguard Giuseppe
17-08-2021,VUSA,MANUAL,GBP,61.40,276,buy,0,Vanguard Giuseppe
17-08-2021,VFEM,MANUAL,GBP,50.11,28,buy,0,Vanguard Giuseppe
03-09-2021,VAEIAGA,MANUAL,GBP,132.58,15.09,buy,0,Vanguard Giuseppe
04-10-2021,VGSGSAG,MANUAL,GBP,346.49,2.51,buy,0,Vanguard Giuseppe
05-10-2021,VGSGSAG,MANUAL,GBP,348.33,0.01,buy,0,Vanguard Giuseppe
05-10-2021,VUSA,MANUAL,GBP,60.26,16,buy,0,Vanguard Giuseppe
05-10-2021,VEUR,MANUAL,GBP,30.07,33,buy,0,Vanguard Giuseppe
05-10-2021,VHYL,MANUAL,GBP,45.13,22,buy,0,Vanguard Giuseppe
06-10-2021,VHYL,MANUAL,GBP,45.27,1,buy,0,Vanguard Giuseppe
18-10-2021,VAEIAGA,MANUAL,GBP,131.24,1.18,buy,0,Vanguard Giuseppe
21-10-2021,VAEIAGA,MANUAL,GBP,132.05,0.08,buy,0,Vanguard Giuseppe
22-10-2021,VUSA,MANUAL,GBP,62.23,8,buy,0,Vanguard Giuseppe
22-10-2021,VEUR,MANUAL,GBP,30.75,16,buy,0,Vanguard Giuseppe
27-10-2021,VAEIAGA,MANUAL,GBP,133.08,0.15,buy,0,Vanguard Giuseppe
28-10-2021,VGSGSAG,MANUAL,GBP,363.22,2.75,buy,0,Vanguard Giuseppe
29-10-2021,VGSGSAG,MANUAL,GBP,365.39,0.21,buy,0,Vanguard Giuseppe
29-10-2021,VUSA,MANUAL,GBP,63.14,15,buy,0,Vanguard Giuseppe
29-10-2021,VEUR,MANUAL,GBP,31.05,32,buy,0,Vanguard Giuseppe
29-10-2021,VHYL,MANUAL,GBP,46.28,32,buy,0,Vanguard Giuseppe
05-01-2022,VGSGSAG,MANUAL,GBP,369.61,0.12,buy,0,Vanguard Giuseppe
