Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Account
14-06-2021,VUSA,MANUAL,GBP,56.84,87,buy,0,Ylenia Vanguard
14-06-2021,VFEM,MANUAL,GBP,52.42,38,buy,0,Ylenia Vanguard
14-06-2021,VEUR,MANUAL,GBP,30.71,131,buy,0,Ylenia Vanguard
14-06-2021,VEUR,MANUAL,GBP,30.76,48,buy,0,Ylenia Vanguard
14-06-2021,VUSA,MANUAL,GBP,56.91,44,buy,0,Ylenia Vanguard
14-06-2021,VFEM,MANUAL,GBP,52.49,19,buy,0,Ylenia Vanguard
15-06-2021,VUSA,MANUAL,GBP,56.92,1,buy,0,Ylenia Vanguard
18-06-2021,VGSGSAG,MANUAL,GBP,336.19,0.06,buy,0,Ylenia Vanguard
06-07-2021,VGSGSAG,MANUAL,GBP,347.18,0.14,buy,0,Ylenia Vanguard
06-07-2021,VFEM,MANUAL,GBP,52.47,19,buy,0,Ylenia Vanguard
06-07-2021,VUSA,MANUAL,GBP,59.56,50,buy,0,Ylenia Vanguard
06-07-2021,VEUR,MANUAL,GBP,30.45,32,buy,0,Ylenia Vanguard
06-07-2021,VGSGSAG,MANUAL,GBP,347.54,0.14,buy,0,Ylenia Vanguard
12-07-2021,VEUR,MANUAL,GBP,30.15,3,buy,0,Ylenia Vanguard
04-08-2021,VGSGSAG,MANUAL,GBP,349.48,0.15,buy,0,Ylenia Vanguard
04-08-2021,VFEM,MANUAL,GBP,49.97,16,buy,0,Ylenia Vanguard
06-07-2021,VEUR,MANUAL,GBP,30.77,32,buy,0,Ylenia Vanguard
04-08-2021,VUSA,MANUAL,GBP,60.25,33,buy,0,Ylenia Vanguard
07-09-2021,VGSGSAG,MANUAL,GBP,362.63,0.48,buy,0,Ylenia Vanguard
18-10-2021,VGSGSAG,MANUAL,GBP,357.12,0.35,buy,0,Ylenia Vanguard
05-01-2022,VGSGSAG,MANUAL,GBP,369.61,0.02,buy,0,Ylenia Vanguard
06-01-2022,VFEM,MANUAL,GBP,49.50,2,buy,0,Ylenia Vanguard
14-04-2022,VGSGSAG,MANUAL,GBP,347.12,0.23,buy,0,Ylenia Vanguard
09-05-2022,VGSGSAG,MANUAL,GBP,330.27,1.51,buy,0,Ylenia Vanguard
10-05-2022,VGSGSAG,MANUAL,GBP,330.77,0.16,buy,0,Ylenia Vanguard
10-05-2022,VEUR,MANUAL,GBP,29.03,34,buy,0,Ylenia Vanguard
10-05-2022,VUSA,MANUAL,GBP,63.53,23,buy,0,Ylenia Vanguard
20-05-2022,VGSGSAG,MANUAL,GBP,323.81,1.54,buy,0,Ylenia Vanguard
23-05-2022,VEUR,MANUAL,GBP,28.33,21,buy,0,Ylenia Vanguard
23-05-2022,VUSA,MANUAL,GBP,59.26,13,buy,0,Ylenia Vanguard
27-05-2022,VGSGSAG,MANUAL,GBP,337.29,1.18,buy,0,Ylenia Vanguard
27-05-2022,VUSA,MANUAL,GBP,59.75,3,buy,0,Ylenia Vanguard
27-05-2022,VEUR,MANUAL,GBP,29.09,3,buy,0,Ylenia Vanguard
30-05-2022,VUSA,MANUAL,GBP,60.11,9,buy,0,Ylenia Vanguard
01-06-2022,VGSGSAG,MANUAL,GBP,336.57,0.08,buy,0,Ylenia Vanguard
01-06-2022,VEUR,MANUAL,GBP,29.95,4,buy,0,Ylenia Vanguard
02-06-2022,VGSGSAG,MANUAL,GBP,340.87,3.53,buy,0,Ylenia Vanguard
07-06-2022,VEUR,MANUAL,GBP,29.84,50,buy,0,Ylenia Vanguard
07-06-2022,VUSA,MANUAL,GBP,62.67,31,buy,0,Ylenia Vanguard
08-06-2022,VGSGSAG,MANUAL,GBP,335.87,0.02,buy,0,Ylenia Vanguard
08-06-2022,VEUR,MANUAL,GBP,30.03,2,buy,0,Ylenia Vanguard
08-06-2022,VUSA,MANUAL,GBP,62.81,15,buy,0,Ylenia Vanguard
09-06-2022,VGSGSAG,MANUAL,GBP,328.85,0.18,buy,0,Ylenia Vanguard
06-07-2022,VGSGSAG,MANUAL,GBP,329.94,0.34,buy,0,Ylenia Vanguard
06-07-2022,VGSGSAG,MANUAL,GBP,329.94,1.08,buy,0,Ylenia Vanguard
06-07-2022,VEUR,MANUAL,GBP,27.35,73,buy,0,Ylenia Vanguard
06-07-2022,VUSA,MANUAL,GBP,59.46,50,buy,0,Ylenia Vanguard
28-07-2022,VGSGSAG,MANUAL,GBP,342.66,0.14,buy,0,Ylenia Vanguard
29-07-2022,VEUR,MANUAL,GBP,27.83,49,buy,0,Ylenia Vanguard
29-07-2022,VUSA,MANUAL,GBP,62.18,25,buy,0,Ylenia Vanguard
17-10-2022,VUSA,MANUAL,GBP,61.29,3,buy,0,Ylenia Vanguard
27-10-2022,VGSGSAG,MANUAL,GBP,329.53,0.13,buy,0,Ylenia Vanguard
17-01-2023,VGSGSAG,MANUAL,GBP,337.53,0.02,buy,0,Ylenia Vanguard
17-01-2023,VUSA,MANUAL,GBP,61.73,1,buy,0,Ylenia Vanguard
14-02-2023,VGSGSAG,MANUAL,GBP,352.68,0.06,buy,0,Ylenia Vanguard
15-02-2023,VEUR,MANUAL,GBP,31.45,2,buy,0,Ylenia Vanguard
12-05-2023,VGSGSAG,MANUAL,GBP,344.99,6.30,buy,0,Ylenia Vanguard
15-05-2023,VGSGSAG,MANUAL,GBP,345.41,0.24,buy,0,Ylenia Vanguard
15-05-2023,VEUR,MANUAL,GBP,31.58,284,buy,0,Ylenia Vanguard
15-05-2023,VUSA,MANUAL,GBP,62.57,143,buy,0,Ylenia Vanguard
29-06-2023,VGSGSAG,MANUAL,GBP,358.54,0.01,buy,0,Ylenia Vanguard
19-07-2023,VGSGSAG,MANUAL,GBP,366.83,0.05,buy,0,Ylenia Vanguard
19-07-2023,VEUR,MANUAL,GBP,30.45,18,buy,0,Ylenia Vanguard
